grid,skyvector_url,lsalt_100ft
"[[150.5,-27.5],[151.0,-27.5],[151.0,-27.0],[150.5,-27.0],[150.5,-27.5]]",https://skyvector.com/?fpl=2730S15030E%202730S15100E%202700S15100E%202700S15030E%202730S15030E,25
"[[149.0,-28.0],[149.5,-28.0],[149.5,-27.5],[149.0,-27.5],[149.0,-28.0]]",https://skyvector.com/?fpl=2800S14900E%202800S14930E%202730S14930E%202730S14900E%202800S14900E,22
"[[149.0,-27.5],[149.5,-27.5],[149.5,-27.0],[149.0,-27.0],[149.0,-27.5]]",https://skyvector.com/?fpl=2730S14900E%202730S14930E%202700S14930E%202700S14900E%202730S14900E,24
"[[149.5,-28.0],[150.0,-28.0],[150.0,-27.5],[149.5,-27.5],[149.5,-28.0]]",https://skyvector.com/?fpl=2800S14930E%202800S15000E%202730S15000E%202730S14930E%202800S14930E,23
"[[149.5,-27.5],[150.0,-27.5],[150.0,-27.0],[149.5,-27.0],[149.5,-27.5]]",https://skyvector.com/?fpl=2730S14930E%202730S15000E%202700S15000E%202700S14930E%202730S14930E,24
"[[150.0,-29.0],[150.5,-29.0],[150.5,-28.5],[150.0,-28.5],[150.0,-29.0]]",https://skyvector.com/?fpl=2900S15000E%202900S15030E%202830S15030E%202830S15000E%202900S15000E,23
"[[150.0,-28.5],[150.5,-28.5],[150.5,-28.0],[150.0,-28.0],[150.0,-28.5]]",https://skyvector.com/?fpl=2830S15000E%202830S15030E%202800S15030E%202800S15000E%202830S15000E,20
"[[150.5,-29.0],[151.0,-29.0],[151.0,-28.5],[150.5,-28.5],[150.5,-29.0]]",https://skyvector.com/?fpl=2900S15030E%202900S15100E%202830S15100E%202830S15030E%202900S15030E,29
"[[150.5,-28.5],[151.0,-28.5],[151.0,-28.0],[150.5,-28.0],[150.5,-28.5]]",https://skyvector.com/?fpl=2830S15030E%202830S15100E%202800S15100E%202800S15030E%202830S15030E,24
"[[149.0,-29.0],[149.5,-29.0],[149.5,-28.5],[149.0,-28.5],[149.0,-29.0]]",https://skyvector.com/?fpl=2900S14900E%202900S14930E%202830S14930E%202830S14900E%202900S14900E,18
"[[149.0,-28.5],[149.5,-28.5],[149.5,-28.0],[149.0,-28.0],[149.0,-28.5]]",https://skyvector.com/?fpl=2830S14900E%202830S14930E%202800S14930E%202800S14900E%202830S14900E,20
"[[149.5,-29.0],[150.0,-29.0],[150.0,-28.5],[149.5,-28.5],[149.5,-29.0]]",https://skyvector.com/?fpl=2900S14930E%202900S15000E%202830S15000E%202830S14930E%202900S14930E,18
"[[149.5,-28.5],[150.0,-28.5],[150.0,-28.0],[149.5,-28.0],[149.5,-28.5]]",https://skyvector.com/?fpl=2830S14930E%202830S15000E%202800S15000E%202800S14930E%202830S14930E,20
"[[151.0,-24.0],[151.5,-24.0],[151.5,-23.5],[151.0,-23.5],[151.0,-24.0]]",https://skyvector.com/?fpl=2400S15100E%202400S15130E%202330S15130E%202330S15100E%202400S15100E,30
"[[151.0,-23.5],[151.5,-23.5],[151.5,-23.0],[151.0,-23.0],[151.0,-23.5]]",https://skyvector.com/?fpl=2330S15100E%202330S15130E%202300S15130E%202300S15100E%202330S15100E,15
"[[151.5,-24.0],[152.0,-24.0],[152.0,-23.5],[151.5,-23.5],[151.5,-24.0]]",https://skyvector.com/?fpl=2400S15130E%202400S15200E%202330S15200E%202330S15130E%202400S15130E,14
"[[151.5,-23.5],[152.0,-23.5],[152.0,-23.0],[151.5,-23.0],[151.5,-23.5]]",https://skyvector.com/?fpl=2330S15130E%202330S15200E%202300S15200E%202300S15130E%202330S15130E,11
"[[150.0,-24.0],[150.5,-24.0],[150.5,-23.5],[150.0,-23.5],[150.0,-24.0]]",https://skyvector.com/?fpl=2400S15000E%202400S15030E%202330S15030E%202330S15000E%202400S15000E,30
"[[150.0,-23.5],[150.5,-23.5],[150.5,-23.0],[150.0,-23.0],[150.0,-23.5]]",https://skyvector.com/?fpl=2330S15000E%202330S15030E%202300S15030E%202300S15000E%202330S15000E,26
"[[150.5,-24.0],[151.0,-24.0],[151.0,-23.5],[150.5,-23.5],[150.5,-24.0]]",https://skyvector.com/?fpl=2400S15030E%202400S15100E%202330S15100E%202330S15030E%202400S15030E,35
"[[150.5,-23.5],[151.0,-23.5],[151.0,-23.0],[150.5,-23.0],[150.5,-23.5]]",https://skyvector.com/?fpl=2330S15030E%202330S15100E%202300S15100E%202300S15030E%202330S15030E,30
"[[149.0,-24.0],[149.5,-24.0],[149.5,-23.5],[149.0,-23.5],[149.0,-24.0]]",https://skyvector.com/?fpl=2400S14900E%202400S14930E%202330S14930E%202330S14900E%202400S14900E,41
"[[149.0,-23.5],[149.5,-23.5],[149.5,-23.0],[149.0,-23.0],[149.0,-23.5]]",https://skyvector.com/?fpl=2330S14900E%202330S14930E%202300S14930E%202300S14900E%202330S14900E,18
"[[149.5,-24.0],[150.0,-24.0],[150.0,-23.5],[149.5,-23.5],[149.5,-24.0]]",https://skyvector.com/?fpl=2400S14930E%202400S15000E%202330S15000E%202330S14930E%202400S14930E,22
"[[149.5,-23.5],[150.0,-23.5],[150.0,-23.0],[149.5,-23.0],[149.5,-23.5]]",https://skyvector.com/?fpl=2330S14930E%202330S15000E%202300S15000E%202300S14930E%202330S14930E,27
